location,genus_species,Year,D
ISM,Girella nigricans,2001,1.25
ICO,Girella nigricans,2001,1.56
ICL,Girella nigricans,2001,2.94
ICA,Girella nigricans,2001,3.31
ISN,Girella nigricans,2001,4.58
IBA,Girella nigricans,2001,15.68
ISC,Girella nigricans,2001,1.81
ICA,Gymnothorax mordax,2001,0.01
ISB,Halichoeres semicinctus,2001,6.31
ISM,Halichoeres semicinctus,2001,4.79
ICO,Halichoeres semicinctus,2001,1.22
ICL,Halichoeres semicinctus,2001,7.73
ICA,Halichoeres semicinctus,2001,5.54
ISN,Halichoeres semicinctus,2001,0.04
IBA,Halichoeres semicinctus,2001,1.33
ISC,Halichoeres semicinctus,2001,4.44
ICL,Hermosilla azurea,2001,0.04
ICA,Hermosilla azurea,2001,0.004
ICA,Heterodontus francisci,2001,0.02
ISN,Heterodontus francisci,2001,0.01
ISB,Heterostichus rostratus,2001,0.24
ICL,Heterostichus rostratus,2001,0.07
ICA,Heterostichus rostratus,2001,0.1
IBA,Heterostichus rostratus,2001,0.2
ISC,Heterostichus rostratus,2001,0.03
